headline,relation,labels
"‘초코케이크 식중독’ 원인균, 일반 살모넬라균 최종 확인···1군 감염병 조치 없다",O,1
중앙방역대책본부 브리핑 (9월 13일),O,1
"검찰, 대장동 개발 특혜 의혹 수사…키맨 정영학 소환",X,0
"중국, 메르스 유전자 분석 5일 만에 완료…""변이 없다""",O,1
격리 환자에 “3살 딸 치료 병원 직접 찾아라”… 정말 미숙한 보건당국,X,0
"WHO 지카 바이러스 비상사태 선포, 국제 보건 심각한 영향 가능성↑ “백신 개발 집중”",O,1
"문재인 대국민 호소문 발표, 대통령 사과 요구…“정치 이벤트에 불과”",X,0
수요 급증에 물류차질까지…알루미늄값 10년만에 최고치,X,0
대한민국 안전의식 개혁 위한 ‘제1회 국회 안전 대한민국 리더스 포럼’ 실시,X,0
"北 '종전선언' 거부에도... 정부, 민간 대북사업에 100억 지원",X,0
민주당 6차 TV토론회…`명낙 대전` 대신 `명균 대전`,X,0
오늘의 주요기사 1차메모(12월5일.토),X,0
신종플루백신 뒤늦은 확보 ‘안간힘’,O,1
“수당은 커녕 최저임금도 못 받아”…요양보호사 처우 열악,X,0
"[2018년 예산안] 군대 간 아들 피부가 촉촉, 왜?…내년 예산안 이색사업(下)",X,0
'2021 DGB금융그룹 어바인 오픈' 16일부터 3일간 개최,X,0
"스페인, 에볼라 확산 가능성 긴장…3명 추가 격리",O,1
"국민안심병원 87곳 공개, ""미비한 부분 발견되는 즉시 시정조치 할 것""",O,1
예비군훈련 성적좋으면 조기퇴소,X,0
41개월째 경상수지 흑자..여행수지 7년만에 최저(종합),X,0
"경기도, 명품 가방·시계 등 체납자 압류물품 604점 공매",X,0
"나누리수원병원, 포괄간호서비스 11월부터 시작",X,0
"'회사 짤려도 난 안 맞아…' 美 유나이티드 항공, 백신 거부 직원 600명 해고한다",X,0
“‘메르스 확진’ 아내 신상 공개한 언론 때문에 피눈물”,O,1
전국 초·중·고 '신종플루 초비상',O,1
용인 한 대학교 태권도학과서 이틀새 12명 확진,O,1
"""백신 맞고 갑니다""…주요 기차역 귀성행렬",O,1
국내 첫 지카바이러스 환자 발생에 관련주 급등,O,1
[뉴욕증시-마감] 돼지 플루 확산 우려로 하락..다우 51P↓,O,1
노트북 펼치는 정진엽 보건복지부 장관,X,0
"HDC신라면세점, 중국 여행사에 한국 관광 지원 요청",X,0
현행 ‘주의’ 유지…1만 격리병상 확보,O,1
"메르스 환자 5명으로…""메르스 환자 치료한 의료진도 감염됐다""",O,1
메르스 확진자 38일째 ‘0’… 한달 넘게 사망자도 없어,O,1
올해 전세계 IT시장 4.5% 성장-EITO,X,0
[Cover Story] 짙어지는 디플레 그림자…세계는 '초저금리' 시대,X,0
독감백신 맞으면 신종플루 잘걸려?,O,1
문재인 만난 이희호 여사 “꼭 정권 교체 돼야”,X,0
국내 지카바이러스 감염자 첫 발생,O,1
신종플루롤 국내 3번째 사망자 발생(2보),O,1
[신년 초대석-안희정 충남도지사] “황해를 아시아의 지중해로… 물류·관광 허브항만 육성”,X,0
지역농민에 수익 황원 로컬푸드 시스템 안착,X,0
워킹맘 절반 이상 코로나19로 ‘돌봄공백’ 경험,O,1
"마소캠퍼스, 인기강의 웹엑스 활용해 무료로 제공",X,0
부산 첫 메르스 확진자 사망…삼성서울서 감염,O,1
"WHO ""신종플루 22개국 1516명 감염""",O,1
장기불황 속 '에잇포켓' 잡아야 생존한다,X,0
"이낙연, 강원 방문 지지 호소…부인도 내조정치로 지원(종합)",X,0
에볼라 감염 美 환자 회복세…신약 투여 효과?,O,1
"박래학 서울시의회 의장, ""지방재정 개혁, 인사청문회 도입 등 해낼 것""",X,0
'신임 국무총리' 황교안 법무장관직 퇴임,X,0
자격증 준비 성인 10명 중 4명 공인중개사 도전,X,0
"경남도 특사경, 청소년에 전자담배 판매행위 집중단속",X,0
"복지위, 의료기관에 5천억 원 추경·온누리상품권 놓고 공방",X,0
국내 첫 지카 감염증 환자 퇴원…검역 강화,O,1
에볼라 감염 스페인 신부 사망…아프리카 밖 첫 사망,O,1
서울 확진자 1222명 역대 최다…추석 끝나자 확진자 '폭증',O,1
"신동빈 승부수 통했다…한샘 품은 롯데, 40조 시장 정조준",X,0
[지카 바이러스 대유행 ⑦]‘이집트 숲모기’는 전투모기?…낮에도 활발히 활동,O,1
관객 혼자 즐기는 비대면 공연…국립극단 '코오피와 최면약',O,1
에볼라 대응 파견인력 교육장 방문한 정 총리,O,1
메르스 의사 상태악화…박원순 시장 스트레스 줬기 때문에? 가족들 주장,X,0
[한주의 게임소식] 여전한 '원신'의 글로벌 흥행력,X,0
"해남군, 보건의료정보 알림서비스",O,1
"김무성 “8·15특사, 국가 에너지 하나로 모으는 좋은 계기”",X,0
나주시 ‘해충기피제 자동분사기’ 36곳에 설치·운영,X,0
"이춘택병원, ‘간병인 없는 병동’ 포괄간호서비스 운영",X,0
연합뉴스 제재하면 끝? 언론 '뒷광고' 뿌리 뽑자,X,0
"의약株 다시 뜨고, 여행·항공株 ‘비틀’… 신종플루 명암",O,1
"“中, WHO에 첫 발생 보고 전 세계적 행사서 코로나19 퍼뜨려”",O,1
태반주사 밀반입한 일당 검거,X,0
